loc_rowid,pl_hostname,pl_letter,pl_name,gaia_dist,st_teff,st_mass,st_rad,rowupdate,pl_disc,pl_facility,pl_status
3615,Kepler-906,b,Kepler-906 b,774.64,6035.00,1.06,1.02,2016-05-10,2016,Kepler,3
3616,Kepler-907,b,Kepler-907 b,217.47,6106.00,1.08,1.38,2016-05-10,2016,Kepler,3
3617,Kepler-908,b,Kepler-908 b,293.29,5973.00,1.11,1.12,2016-05-10,2016,Kepler,3
3618,Kepler-909,b,Kepler-909 b,312.38,6154.00,1.17,1.23,2016-05-10,2016,Kepler,3
3619,Kepler-91,b,Kepler-91 b,1344.56,4550.00,1.31,6.30,2015-10-15,2013,Kepler,3
3620,Kepler-910,b,Kepler-910 b,404.88,6230.00,1.26,1.50,2016-05-10,2016,Kepler,3
3621,Kepler-911,b,Kepler-911 b,565.08,6112.00,1.34,1.99,2016-05-10,2016,Kepler,3
3622,Kepler-912,b,Kepler-912 b,2122.13,5998.00,1.07,1.11,2016-05-10,2016,Kepler,3
3623,Kepler-913,b,Kepler-913 b,1019.26,4687.00,0.63,0.61,2016-05-10,2016,Kepler,3
3624,Kepler-914,b,Kepler-914 b,770.44,5877.00,1.10,1.15,2016-05-10,2016,Kepler,3
3625,Kepler-915,b,Kepler-915 b,870.34,6173.00,1.21,1.38,2016-05-10,2016,Kepler,3
3626,Kepler-916,b,Kepler-916 b,850.86,5248.00,0.85,0.81,2016-05-10,2016,Kepler,3
3627,Kepler-917,b,Kepler-917 b,3976.23,5418.00,0.80,0.76,2016-05-10,2016,Kepler,3
3628,Kepler-918,b,Kepler-918 b,1055.16,6028.00,1.11,1.14,2016-05-10,2016,Kepler,3
3629,Kepler-919,b,Kepler-919 b,1155.94,6113.00,1.15,1.21,2016-05-10,2016,Kepler,3
3630,Kepler-92,b,Kepler-92 b,484.62,5883.00,,1.53,2014-05-14,2013,Kepler,3
3631,Kepler-92,c,Kepler-92 c,484.62,5883.00,,1.53,2014-05-14,2013,Kepler,3
3632,Kepler-92,d,Kepler-92 d,484.62,5883.00,,1.53,2015-05-21,2015,Kepler,3
3633,Kepler-920,b,Kepler-920 b,1031.12,5403.00,0.89,0.85,2016-05-10,2016,Kepler,3
3634,Kepler-920,c,Kepler-920 c,1031.12,5403.00,0.89,0.85,2016-05-10,2016,Kepler,3
3635,Kepler-921,b,Kepler-921 b,960.22,5663.00,0.93,0.91,2016-05-10,2016,Kepler,3
3636,Kepler-922,b,Kepler-922 b,544.76,5671.00,0.95,0.93,2016-05-10,2016,Kepler,3
3637,Kepler-923,b,Kepler-923 b,1029.57,5988.00,1.11,1.26,2016-05-10,2016,Kepler,3
3638,Kepler-924,b,Kepler-924 b,1085.72,6167.00,1.14,1.23,2016-05-10,2016,Kepler,3
3639,Kepler-925,b,Kepler-925 b,621.59,4673.00,0.77,0.72,2016-05-10,2016,Kepler,3
3640,Kepler-926,b,Kepler-926 b,945.60,5806.00,1.01,1.01,2016-05-10,2016,Kepler,3
3641,Kepler-927,b,Kepler-927 b,852.01,5743.00,0.99,0.99,2016-05-10,2016,Kepler,3
3642,Kepler-928,b,Kepler-928 b,516.28,4700.00,0.73,0.70,2016-05-10,2016,Kepler,3
3643,Kepler-929,b,Kepler-929 b,1361.74,5869.00,1.01,1.02,2016-05-10,2016,Kepler,3
3644,Kepler-93,b,Kepler-93 b,96.18,5669.00,1.09,0.98,2018-04-26,2014,Kepler,3
3645,Kepler-93,c,Kepler-93 c,96.18,5669.00,1.09,0.98,2014-05-14,2014,W. M. Keck Observatory,3
3646,Kepler-930,b,Kepler-930 b,869.53,6335.00,1.25,1.40,2016-05-10,2016,Kepler,3
3647,Kepler-931,b,Kepler-931 b,,5241.00,0.86,0.81,2016-05-10,2016,Kepler,3
3648,Kepler-932,b,Kepler-932 b,471.92,5331.00,0.87,0.84,2016-05-10,2016,Kepler,3
3649,Kepler-933,b,Kepler-933 b,1047.37,5346.00,0.87,0.84,2016-05-10,2016,Kepler,3
3650,Kepler-934,b,Kepler-934 b,619.50,5001.00,0.81,0.77,2016-05-10,2016,Kepler,3
3651,Kepler-935,b,Kepler-935 b,478.27,4830.00,0.78,0.73,2016-05-10,2016,Kepler,3
3652,Kepler-936,b,Kepler-936 b,,5482.00,0.92,0.89,2016-05-10,2016,Kepler,3
3653,Kepler-937,b,Kepler-937 b,1645.01,6095.00,1.15,1.22,2016-05-10,2016,Kepler,3
3654,Kepler-937,c,Kepler-937 c,1645.01,6095.00,1.15,1.22,2016-05-10,2016,Kepler,3
3655,Kepler-938,b,Kepler-938 b,,5533.00,0.92,0.89,2016-05-10,2016,Kepler,3
3656,Kepler-939,b,Kepler-939 b,2228.62,5471.00,0.88,0.85,2016-05-10,2016,Kepler,3
3657,Kepler-94,b,Kepler-94 b,192.97,4781.00,0.81,0.76,2014-05-14,2014,Kepler,3
3658,Kepler-94,c,Kepler-94 c,192.97,4781.00,0.81,0.76,2014-05-14,2014,W. M. Keck Observatory,3
3659,Kepler-940,b,Kepler-940 b,1306.20,5769.00,0.97,0.96,2016-05-10,2016,Kepler,3
3660,Kepler-941,b,Kepler-941 b,1122.42,5539.00,0.89,0.86,2016-05-10,2016,Kepler,3
3661,Kepler-942,b,Kepler-942 b,217.72,4861.00,0.81,0.75,2016-05-10,2016,Kepler,3
3662,Kepler-943,b,Kepler-943 b,2473.02,5612.00,0.93,0.91,2016-05-10,2016,Kepler,3
3663,Kepler-944,b,Kepler-944 b,1401.83,5409.00,0.86,0.83,2016-05-10,2016,Kepler,3
3664,Kepler-945,b,Kepler-945 b,1731.27,5718.00,0.97,0.97,2016-05-10,2016,Kepler,3
3665,Kepler-946,b,Kepler-946 b,1175.01,5665.00,0.94,0.93,2016-05-10,2016,Kepler,3
3666,Kepler-947,b,Kepler-947 b,1817.57,5508.00,0.90,0.87,2016-05-10,2016,Kepler,3
3667,Kepler-948,b,Kepler-948 b,890.06,5679.00,0.96,0.94,2016-05-10,2016,Kepler,3
3668,Kepler-949,b,Kepler-949 b,492.95,5403.00,0.89,0.86,2016-05-10,2016,Kepler,3
3669,Kepler-95,b,Kepler-95 b,451.38,5699.00,1.08,1.41,2014-05-14,2014,Kepler,3
3670,Kepler-950,b,Kepler-950 b,2313.32,5857.00,1.02,1.02,2016-05-10,2016,Kepler,3
3671,Kepler-951,b,Kepler-951 b,386.75,4834.00,0.77,0.73,2016-05-10,2016,Kepler,3
3672,Kepler-952,b,Kepler-952 b,1354.85,5730.00,1.00,0.99,2016-05-10,2016,Kepler,3
3673,Kepler-953,b,Kepler-953 b,1123.79,5416.00,0.95,0.99,2016-05-10,2016,Kepler,3
3674,Kepler-953,c,Kepler-953 c,1123.79,5416.00,0.95,0.99,2016-05-10,2016,Kepler,3
3675,Kepler-954,b,Kepler-954 b,217.16,4990.00,0.82,0.76,2016-05-10,2016,Kepler,3
3676,Kepler-955,b,Kepler-955 b,559.19,5350.00,0.89,0.84,2016-05-10,2016,Kepler,3
3677,Kepler-956,b,Kepler-956 b,553.64,6040.00,1.10,1.15,2016-05-10,2016,Kepler,3
3678,Kepler-957,b,Kepler-957 b,844.37,4963.00,0.81,0.75,2016-05-10,2016,Kepler,3
3679,Kepler-958,b,Kepler-958 b,455.69,5421.00,0.91,0.86,2016-05-10,2016,Kepler,3
3680,Kepler-959,b,Kepler-959 b,826.76,7005.00,1.60,2.01,2016-05-10,2016,Kepler,3
3681,Kepler-96,b,Kepler-96 b,123.32,5690.00,1.00,1.02,2014-05-14,2014,Kepler,3
3682,Kepler-960,b,Kepler-960 b,287.28,4755.00,0.77,0.72,2016-05-10,2016,Kepler,3
3683,Kepler-961,b,Kepler-961 b,583.96,5582.00,0.96,0.90,2016-05-10,2016,Kepler,3
